s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
TUSDUSDT,TRADING,TUSD,USDT,,,0.01,0.0001,TrueUSD,TetherUS,0.9992,1.0001,0.9991,0.9997,8251762.95,8248983.223281,0,8251762.95,USDⓈ,USDⓈ,303779157,[],,,
UMABTC,TRADING,UMA,BTC,,฿,0.001,0.000001,UMA,Bitcoin,0.000414,0.000422,0.000402,0.00041,21789.852,8.90525236,0,21789.852,BTC,BTC,,"[""defi""]",,,
UMAUSDT,TRADING,UMA,USDT,,,0.001,0.001,UMA,TetherUS,7.964,7.981,7.461,7.787,44240.08,339377.19466,0,44240.08,USDⓈ,USDⓈ,,"[""defi""]",,,
UNFIBNB,TRADING,UNFI,BNB,,,0.1,0.00001,Unifi Protocol DAO,BNB,0.13499,0.14499,0.12496,0.13471,35702.3,4862.833222,0,35702.3,BNB,BNB,,"[""defi"",""innovation-zone""]",,,
UNFIBTC,TRADING,UNFI,BTC,,฿,0.1,1e-8,Unifi Protocol DAO,Bitcoin,0.00021455,0.00023276,0.00020076,0.000217,378375.7,81.89439066,0,378375.7,BTC,BTC,,"[""defi"",""innovation-zone""]",,,
UNFIBUSD,TRADING,UNFI,BUSD,,,0.01,0.0001,Unifi Protocol DAO,BUSD,4.14,4.3879,3.75,4.103,28973.76,116797.5924,0,28973.76,USDⓈ,USDⓈ,,"[""defi"",""innovation-zone""]",,,
UNFIUSDT,TRADING,UNFI,USDT,,,0.01,0.0001,Unifi Protocol DAO,TetherUS,4.1358,4.4,3.7284,4.095,818718.57,3373225.35249,0,818718.57,USDⓈ,USDⓈ,,"[""defi"",""innovation-zone""]",,,
UNIBNB,TRADING,UNI,BNB,,,0.1,0.00001,Uniswap,BNB,0.12065,0.13088,0.11748,0.1297,55035.8,6801.757347,0,55035.8,BNB,BNB,,"[""defi""]",,,
UNIBTC,TRADING,UNI,BTC,,฿,1,1e-8,Uniswap,Bitcoin,0.00019194,0.0002097,0.00018862,0.00020714,1367879,269.94721655,0,1367879,BTC,BTC,,"[""defi""]",,,
UNIBUSD,TRADING,UNI,BUSD,,,0.01,0.0001,Uniswap,BUSD,3.7076,3.953,3.5025,3.9215,475294.39,1751724.04627,0,475294.39,USDⓈ,USDⓈ,,"[""defi""]",,,
UNIUSDT,TRADING,UNI,USDT,,,0.01,0.0001,Uniswap,TetherUS,3.7009,3.9542,3.2251,3.9161,9128961.15,33849759.095515,0,9128961.15,USDⓈ,USDⓈ,,"[""defi""]",,,
USDCUSDT,TRADING,USDC,USDT,,,0.01,0.0001,USD Coin,TetherUS,0.9991,1.0001,0.9991,0.9998,38342720.19,38331674.077348,0,38342720.19,USDⓈ,USDⓈ,12748949,[],,,
USDTBIDR,TRADING,USDT,BIDR,,,0.01,1,TetherUS,BIDR,14121,14164,14068,14127,138253,1950506188.76,0,138252.65,USDⓈ,USDⓈ,19404637102,[],,,
USDTBKRW,TRADING,USDT,BKRW,,,0.1,0.01,TetherUS,Binance KRW,1096.11,1111,1095.4,1099.99,457046.7,504223009.185,0,457046.7,USDⓈ,USDⓈ,19404637102,[],,,
USDTBRL,TRADING,USDT,BRL,,,0.01,0.001,TetherUS,Brazilian Real,5.3,5.32,5.241,5.261,477230.7,2521454.79677,0,477230.7,USDⓈ,USDⓈ,19404637102,[],,,
USDTDAI,TRADING,USDT,DAI,,,0.01,0.0001,TetherUS,Dai,0.9961,0.9968,0.9943,0.9955,4207196.69,4190553.009411,0,4207196.69,USDⓈ,USDⓈ,19404637102,[],,,
USDTIDRT,TRADING,USDT,IDRT,,,0.01,1,TetherUS,Rupiah Token,14146,14212,14039,14143,89515,1265742314.06,0,89514.17,USDⓈ,USDⓈ,19404637102,[],,,
USDTNGN,TRADING,USDT,NGN,,,0.01,0.01,TetherUS,Nigerian Naira,492.78,495.29,483.21,489.27,5285576.73,2587959600.9126,0,5285576.73,USDⓈ,USDⓈ,19404637102,[],,,
USDTRUB,TRADING,USDT,RUB,,,0.1,0.001,TetherUS,Russian Ruble,75.45,75.946,75,75.001,1543582.8,116311855.1156,0,1543582.8,USDⓈ,USDⓈ,19404637102,[],,,
