s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
LRCBUSD,TRADING,LRC,BUSD,,,0.1,0.00001,Loopring,BUSD,0.18978,0.18978,0.18139,0.18368,84327.5,15686.258273,0,84327.5,USDⓈ,USDⓈ,1201751511,"[""defi""]",,,
LRCETH,TRADING,LRC,ETH,,Ξ,1,1e-8,Loopring,Ethereum,0.00031987,0.00031988,0.000309,0.00031272,338234,105.90572618,0,338234,ALTS,ALTS,1201751511,"[""defi""]",,,
LRCUSDT,TRADING,LRC,USDT,,,0.1,0.00001,Loopring,TetherUS,0.18967,0.18967,0.181,0.18324,6167168.7,1142524.627567,0,6167168.7,USDⓈ,USDⓈ,1201751511,"[""defi""]",,,
LSKBTC,TRADING,LSK,BTC,,฿,0.01,1e-7,Lisk,Bitcoin,0.0000693,0.0000717,0.0000675,0.0000702,220361.75,15.47249312,0,220361.75,BTC,BTC,126595081,"[""pos"",""mining-zone""]",,,
LSKETH,TRADING,LSK,ETH,,Ξ,0.01,0.000001,Lisk,Ethereum,0.002234,0.002316,0.002213,0.002267,22772.15,51.89627491,0,22772.15,ALTS,ALTS,126595081,"[""pos"",""mining-zone""]",,,
LSKUSDT,TRADING,LSK,USDT,,,0.01,0.0001,Lisk,TetherUS,1.332,1.3711,1.3177,1.3337,124719.94,168353.952095,0,124719.94,USDⓈ,USDⓈ,126595081,"[""pos"",""mining-zone""]",,,
LTCBNB,TRADING,LTC,BNB,Ł,,0.001,0.001,Litecoin,BNB,2.812,2.935,2.805,2.836,5143.451,14688.659343,0,5143.451,BNB,BNB,66031573,"[""pow"",""mining-zone""]",,,
LTCBUSD,TRADING,LTC,BUSD,Ł,,0.00001,0.01,Litecoin,BUSD,82.43,86.93,81.73,83.08,64144.71,5382063.4886811,0,64144.70233,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
LTCETH,TRADING,LTC,ETH,Ł,Ξ,0.001,0.00001,Litecoin,Ethereum,0.13867,0.1455,0.13822,0.14118,10459.693,1476.91963853,0,10459.693,ALTS,ALTS,66031573,"[""pow"",""mining-zone""]",,,
LTCEUR,TRADING,LTC,EUR,Ł,,0.001,0.001,Litecoin,Euro,68.266,71.923,67.745,68.95,5221.649,362123.136862,0,5221.649,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
LTCPAX,TRADING,LTC,PAX,Ł,,0.00001,0.01,Litecoin,Paxos Standard,82.64,86,82.39,83.54,287.16,23960.5886549,0,287.1521,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
LTCTUSD,TRADING,LTC,TUSD,Ł,,0.00001,0.01,Litecoin,TrueUSD,83.54,86.52,81.78,83.25,401.05,33575.0679644,0,401.04577,USDⓈ,USDⓈ,66031573,"[""pow"",""mining-zone""]",,,
