s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
FUNBTC,TRADING,FUN,BTC,,฿,1,1e-8,FunFair,Bitcoin,2.1e-7,2.3e-7,2.1e-7,2.1e-7,35811702,7.76387564,0,35811702,BTC,BTC,6548879188,[],,,
FUNUSDT,TRADING,FUN,USDT,,,1,0.000001,FunFair,TetherUS,0.004077,0.00438,0.00398,0.004031,65449498,272710.417418,0,65449498,USDⓈ,USDⓈ,6548879188,[],,,
GBPBUSD,TRADING,GBP,BUSD,,,0.01,0.0001,Pound Sterling,BUSD,1.3355,1.338,1.318,1.3298,1299855.26,1726811.02525,0,1299855.26,USDⓈ,USDⓈ,,[],,,
GBPUSDT,TRADING,GBP,USDT,,,0.01,0.0001,Pound Sterling,TetherUS,1.3341,1.3368,1.3171,1.3289,3210920.76,4263622.042826,0,3210920.76,USDⓈ,USDⓈ,,[],,,
GLMBTC,END_OF_DAY,GLM,BTC,,฿,1,1e-8,Golem,Bitcoin,0,0,0,0,0,0,0,0,BTC,BTC,,[],,,
GLMETH,END_OF_DAY,GLM,ETH,,Ξ,1,1e-7,Golem,Ethereum,0,0,0,0,0,0,0,0,ALTS,ALTS,,[],,,
GOBTC,TRADING,GO,BTC,,฿,1,1e-8,GoChain,Bitcoin,3.9e-7,3.9e-7,3.6e-7,3.7e-7,12588155,4.68143101,0,12588155,BTC,BTC,1058145059,"[""pos"",""mining-zone""]",,,
GRSBTC,TRADING,GRS,BTC,,฿,1,1e-8,Groestlcoin,Bitcoin,0.00001142,0.00001188,0.0000113,0.0000117,334250,3.86897183,0,334250,BTC,BTC,76459703,"[""pow"",""mining-zone""]",,,
GTOBTC,TRADING,GTO,BTC,,฿,1,1e-8,Gifto,Bitcoin,3.5e-7,3.7e-7,3.5e-7,3.6e-7,5469740,1.94630496,0,5469740,BTC,BTC,770236879,"[""mining-zone""]",,,
GTOUSDT,TRADING,GTO,USDT,,,0.1,0.00001,Gifto,TetherUS,0.00674,0.007,0.00666,0.00673,12101490.7,82802.729319,0,12101490.7,USDⓈ,USDⓈ,770236879,"[""mining-zone""]",,,
GVTBTC,TRADING,GVT,BTC,,฿,0.01,1e-7,Genesis Vision,Bitcoin,0.0000696,0.0000703,0.0000677,0.0000688,104521.82,7.19978216,0,104521.82,BTC,BTC,3726781,[],,,
GXSBTC,TRADING,GXS,BTC,,฿,1,1e-8,GXChain,Bitcoin,0.00002107,0.00002112,0.0000206,0.00002093,101011,2.10961608,0,101011,BTC,BTC,60000000,"[""pos""]",,,
GXSETH,TRADING,GXS,ETH,,Ξ,0.01,0.000001,GXChain,Ethereum,0.000678,0.000682,0.000667,0.00068,23229.32,15.61814234,0,23229.32,ALTS,ALTS,60000000,"[""pos""]",,,
GXSUSDT,TRADING,GXS,USDT,,,0.01,0.0001,GXChain,TetherUS,0.4018,0.4086,0.3941,0.3992,129507.59,51959.432947,0,129507.59,USDⓈ,USDⓈ,60000000,"[""pos""]",,,
HARDBNB,TRADING,HARD,BNB,,,0.1,0.00001,HARD Protocol,BNB,0.02686,0.03641,0.02572,0.033,954028.6,29636.462818,0,954028.6,BNB,BNB,,"[""innovation-zone"",""defi""]",,,
HARDBTC,TRADING,HARD,BTC,,฿,0.1,1e-8,HARD Protocol,Bitcoin,0.00004118,0.00005588,0.00003906,0.00005077,7129834.2,346.42247166,0,7129834.2,BTC,BTC,,"[""innovation-zone"",""defi""]",,,
HARDBUSD,TRADING,HARD,BUSD,,,0.01,0.0001,HARD Protocol,BUSD,0.7886,1.09,0.756,0.9645,554349.96,522364.754036,0,554349.96,USDⓈ,USDⓈ,,"[""innovation-zone"",""defi""]",,,
HARDUSDT,TRADING,HARD,USDT,,,0.01,0.0001,HARD Protocol,TetherUS,0.7873,1.07,0.7568,0.9658,18082714.52,16784726.472616,0,18082714.52,USDⓈ,USDⓈ,,"[""innovation-zone"",""defi""]",,,
